customer_id,customer_name,customer_type,city,state,signup_date,credit_terms_days
C0001,Print Express Wholesale Mumbai,Wholesale,Mumbai,Maharashtra,2022-03-21,15
C0002,Graphic Traders Delhi,Wholesale,Delhi,Delhi,2023-08-15,15
C0003,Business Supplies Co Coimbatore,Wholesale,Coimbatore,Tamil Nadu,2023-11-27,45
C0004,PaperTech Distributors Bengaluru,Wholesale,Bengaluru,Karnataka,2022-06-04,45
C0005,Business Supplies Co Chandigarh,Wholesale,Chandigarh,Punjab,2022-06-16,30
C0006,ID Card Distributors Ahmedabad,Wholesale,Ahmedabad,Gujarat,2024-04-15,15
C0007,Office Mart Bengaluru,Wholesale,Bengaluru,Karnataka,2023-09-11,60
C0008,MegaPrint Traders Delhi,Wholesale,Delhi,Delhi,2022-08-19,45
C0009,PackPro Supplies Pune,Wholesale,Pune,Maharashtra,2023-02-19,30
C0010,Graphic Traders Nagpur,Wholesale,Nagpur,Maharashtra,2022-04-17,15
C0011,Stationery Junction Pune,Wholesale,Pune,Maharashtra,2023-03-04,30
C0012,Print Hub Delhi,Wholesale,Delhi,Delhi,2023-08-28,15
C0013,Stationery Junction Lucknow,Wholesale,Lucknow,Uttar Pradesh,2022-04-21,45
C0014,Graphic Traders Surat,Wholesale,Surat,Gujarat,2022-04-09,30
C0015,PaperTech Distributors Lucknow,Wholesale,Lucknow,Uttar Pradesh,2023-03-29,15
C0016,Card Solutions Jaipur,Wholesale,Jaipur,Rajasthan,2024-08-25,30
C0017,MegaPrint Traders Bengaluru,Wholesale,Bengaluru,Karnataka,2025-03-29,45
C0018,ID Card Distributors Chandigarh,Wholesale,Chandigarh,Punjab,2023-08-05,30
C0019,Print & Pack Co Indore,Wholesale,Indore,Madhya Pradesh,2023-09-30,30
C0020,Laminate Depot Nagpur,Wholesale,Nagpur,Maharashtra,2022-02-14,60
C0021,Print & Pack Co Bengaluru,Wholesale,Bengaluru,Karnataka,2024-04-04,45
C0022,Business Supplies Co Coimbatore,Wholesale,Coimbatore,Tamil Nadu,2023-10-01,15
C0023,Laminate Depot Delhi,Wholesale,Delhi,Delhi,2023-03-01,45
C0024,Stationery Junction Chandigarh,Wholesale,Chandigarh,Punjab,2024-06-03,60
C0025,Print & Pack Co Jaipur,Wholesale,Jaipur,Rajasthan,2023-01-22,45
C0026,Laminate Depot Chennai,Wholesale,Chennai,Tamil Nadu,2023-10-05,15
C0027,MegaPrint Traders Mumbai,Wholesale,Mumbai,Maharashtra,2023-12-14,60
C0028,Office Mart Jaipur,Wholesale,Jaipur,Rajasthan,2024-02-18,30
C0029,Card Solutions Chandigarh,Wholesale,Chandigarh,Punjab,2023-10-07,30
C0030,ID Card Distributors Chandigarh,Wholesale,Chandigarh,Punjab,2023-12-05,60
C0031,Laminate Depot Bengaluru,Wholesale,Bengaluru,Karnataka,2022-12-07,30
C0032,Laminate Depot Ahmedabad,Wholesale,Ahmedabad,Gujarat,2023-12-31,45
C0033,Business Supplies Co Kolkata,Wholesale,Kolkata,West Bengal,2025-03-29,30
